molecule_chembl_id,smiles,molecular_weight,molecule_name,n,p_median,p_median_kiki,frac_active,frac_inactive,n_strong_active,n_strong_inactive,any_active_vote,consensus_label
CHEMBL107680,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(O)ccc2C1O3,378.43,,1,4.59,4.59,0.0,1.0,0,0,False,inactive_single
CHEMBL1080155,C[C@H]1CN(C(=O)c2ccc(-c3cccc(OC(F)(F)F)c3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,507.51,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1080389,C[C@H]1CN(C(=O)c2ccc(-c3ccccc3F)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,441.51,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1080556,C[C@H]1CN(C(=O)c2ccc(-c3ccccc3Cl)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,457.96,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1080735,C[C@H]1CN(C(=O)c2ccc(-c3ccccc3C(F)(F)F)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,491.51,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1080755,C[C@H]1CN(C(=O)c2ccc(-c3ccc(OC(F)(F)F)cc3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,507.51,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1080907,Cc1ccccc1-c1ccc(C(=O)N2CCN(C(=O)c3ccc4cc[nH]c4c3)[C@@H](C)C2)cc1,437.54,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1080926,C[C@H]1CN(C(=O)c2ccc(-c3ccc(F)cc3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,441.51,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1081212,COc1ccccc1-c1ccc(C(=O)N2CCN(C(=O)c3ccc4cc[nH]c4c3)[C@@H](C)C2)cc1,453.54,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1081254,COc1ccc(-c2ccc(C(=O)N3CCN(C(=O)c4ccc5cc[nH]c5c4)[C@@H](C)C3)cc2)cc1,453.54,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1081648,COc1cccc(-c2ccc(C(=O)N3CCN(C(=O)c4ccc5cc[nH]c5c4)[C@@H](C)C3)cc2)c1,453.54,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1081649,COc1cccc(-c2ccc(C(=O)N3CCN(C(=O)c4ccc5cc[nH]c5c4)[C@H](C)C3)cc2)c1,453.54,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1082209,C[C@H]1CN(C(=O)c2ccc(-c3cccc(C(F)(F)F)c3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,491.51,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1082210,C[C@H]1CN(C(=O)c2ccc(-c3cccc(F)c3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,441.51,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1082211,C[C@H]1CN(C(=O)c2ccc(-c3ccccc3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,423.52,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1082723,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,390.24,CIPARGAMIN,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1083002,CC[C@H]1CNCC[C@@H]1CNC(=O)c1c(F)cccc1-c1cccc(Cl)c1,374.89,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1083003,O=C(NC[C@H]1CCNC[C@H]1F)c1c(F)cccc1-c1cccc(Cl)c1,364.82,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1083203,Cn1cc(-c2ccc(CN3C(=O)C(=O)c4ccccc43)c(F)c2)cn1,335.34,,1,4.52,,0.0,1.0,0,0,False,inactive_single
CHEMBL1083317,O=C(NCC1=C(F)CNCC1)c1c(-c2cccc(Cl)c2)ccc(Cl)c1F,397.25,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1083402,O=S(=O)(CCC1CCNCC1)c1ccccc1-c1cccc(Cl)c1,363.91,,1,7.7,7.7,1.0,0.0,0,0,True,active_single
CHEMBL1083723,Cc1ccc(-c2ccccc2C(=O)NCC2CCNCC2)cc1Cl,342.87,,1,6.6,6.6,1.0,0.0,0,0,True,active_single
CHEMBL1083911,O=C(NCC1CCNCC1)c1ccccc1-c1nc(Cl)cs1,335.86,,2,5.0,,0.0,1.0,0,0,False,inactive
CHEMBL1083925,C[C@H]1CNCC[C@@H]1CNC(=O)c1c(F)cccc1-c1cccc(Cl)c1,360.86,,1,7.4,7.4,1.0,0.0,0,0,True,active_single
CHEMBL1084804,O=C(Cc1ccccc1-c1cccc(Cl)c1)NC1CCNCC1,328.84,,1,6.9,6.9,1.0,0.0,0,0,True,active_single
CHEMBL1084805,CN(C(=O)Cc1ccccc1-c1cccc(Cl)c1)C1CCNCC1,342.87,,1,7.15,7.15,1.0,0.0,0,0,True,active_single
CHEMBL1084850,OC(CCC1CCNCC1)c1ccccc1-c1cccc(Cl)c1,329.87,,1,8.7,8.7,1.0,0.0,0,0,True,active_single
CHEMBL1084851,Clc1cccc(-c2ccccc2/C=C/CC2CCNCC2)c1,311.86,,1,7.9,7.9,1.0,0.0,0,0,True,active_single
CHEMBL1090095,CCN1CCN(c2ccc(NC(=O)c3ccc(OC)cc3)cc2Cl)CC1,373.88,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1090759,CCN1CCN(c2ccc(NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc2Cl)CC1,479.85,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1092,Cl.OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,337.94,TRIHEXYPHENIDYL HYDROCHLORIDE,1,7.58,7.58,1.0,0.0,0,0,True,active_single
CHEMBL1092461,CCN1CCN(c2ccc(NC(=O)c3ccc(C)cc3)cc2Cl)CC1,357.89,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1093775,CCN1CCN(c2ccc(NC(=O)c3cccc(C)c3)cc2Cl)CC1,357.89,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1093933,CCN1CCN(c2ccc(NC(=O)c3ccc(F)c(F)c3)cc2Cl)CC1,379.84,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1101,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,311.47,BIPERIDEN,1,8.23,8.23,1.0,0.0,0,0,True,active_single
CHEMBL1123,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,309.49,DICYCLOMINE,2,8.7,8.7,1.0,0.0,0,0,True,active
CHEMBL1160977,CCCCCCOC(=O)C1CN(CC)CC=C1c1ccccc1.O=C(O)C(O)C(O)C(=O)O,465.54,,3,6.28,6.28,1.0,0.0,0,0,True,active
CHEMBL1172,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,310.83,DESLORATADINE,3,6.61,6.61,1.0,0.0,0,0,True,active
CHEMBL1180285,CCN1CCC(c2ccccc2)=C(C(=O)OCCc2ccc(C)cc2)C1,349.47,,1,7.06,7.06,1.0,0.0,0,0,True,active_single
CHEMBL118553,CCN1CC=C(c2ccccc2)C(C(=O)OCCCC2CCCCC2)C1.O=C(O)C(=O)O,445.56,,1,4.6,4.6,0.0,1.0,0,0,False,inactive_single
CHEMBL1189234,OC12C3C4CC5C6C4C1C6C(C53)N2Cc1ccccc1,265.36,,2,6.47,6.47,1.0,0.0,0,0,True,active
CHEMBL1191560,CCN(CC)CCOC(=O)C(CC)(c1ccccc1)c1ccccc1,339.48,,1,6.61,6.61,1.0,0.0,0,0,True,active_single
CHEMBL1194314,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(c1cccs1)c1cccs1,468.66,,2,7.89,7.89,1.0,0.0,0,0,True,active
CHEMBL1194325,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,484.66,ACLIDINIUM,2,8.36,8.36,1.0,0.0,0,0,True,active
CHEMBL1196246,CC1(C(=O)O[C@H]2C[N+]3(CCCOc4ccccc4)CCC2CC3)c2ccccc2Oc2ccccc21,484.62,,1,7.89,7.89,1.0,0.0,0,0,True,active_single
CHEMBL1197028,O=C(O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)C1c2ccccc2Oc2ccccc21,440.56,,1,8.2,8.2,1.0,0.0,0,0,True,active_single
CHEMBL1197117,CC1(C(=O)O[C@H]2C[N+]3(CCCOc4ccccc4)CCC2CC3)c2ccccc2-c2ccccc21,468.62,,1,7.64,7.64,1.0,0.0,0,0,True,active_single
CHEMBL1197183,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C1(O)c2ccccc2-c2ccccc21,470.59,,1,7.85,7.85,1.0,0.0,0,0,True,active_single
CHEMBL1197209,O=C(O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)C1(O)c2ccccc2-c2ccccc21,440.56,,1,8.12,8.12,1.0,0.0,0,0,True,active_single
CHEMBL1197216,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C1(O)c2ccccc2Oc2ccccc21,486.59,,1,7.96,7.96,1.0,0.0,0,0,True,active_single
CHEMBL1197251,O=C(O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,454.64,,2,8.57,8.57,1.0,0.0,0,0,True,active
CHEMBL1197261,O=C(O[C@H]1C[N+]2(CCc3ccccc3)CCC1CC2)C1(O)c2ccccc2Oc2ccccc21,456.56,,1,8.16,8.16,1.0,0.0,0,0,True,active_single
CHEMBL1200406,CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,469.97,DIMENHYDRINATE,2,6.69,6.69,1.0,0.0,0,0,True,active
CHEMBL1200604,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,284.36,TROPICAMIDE,2,7.19,7.19,1.0,0.0,0,0,True,active
CHEMBL120080,CCCCCCCCOC(=O)C1=C(c2ccccc2)CCN(CC)C1.O=C(O)C(=O)O,433.55,,1,7.06,7.06,1.0,0.0,0,0,True,active_single
CHEMBL1200803,O=C(O)CCC(=O)O.O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,480.56,SOLIFENACIN SUCCINATE,1,6.88,6.88,1.0,0.0,0,0,True,active_single
CHEMBL1200809,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1.Cl,418.37,AZELASTINE HYDROCHLORIDE,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1201027,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1.[Br-],398.34,GLYCOPYRRONIUM BROMIDE,1,9.6,9.6,1.0,0.0,0,0,True,active_single
CHEMBL120119,CCN1CCC(c2ccccc2)=C(C(=O)OCCc2ccc(C)cc2)C1.O=C(O)C(=O)O,439.51,,1,7.05,7.05,1.0,0.0,0,0,True,active_single
CHEMBL1201203,CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,307.44,BENZTROPINE,3,8.89,8.89,1.0,0.0,0,0,True,active
CHEMBL1201335,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,318.44,GLYCOPYRRONIUM,2,9.75,9.75,1.0,0.0,0,0,True,active
CHEMBL120472,CCN1CCC(c2ccccc2)=C(C(=O)OCCC2CCCCC2)C1.O=C(O)C(=O)O,431.53,,1,6.94,6.94,1.0,0.0,0,0,True,active_single
CHEMBL120581,CCN1CCC(c2ccccc2)=C(C(=O)OCC(C)C)C1.O=C(O)C(=O)O,377.44,,1,6.59,6.59,1.0,0.0,0,0,True,active_single
CHEMBL1210154,C/C(=NOC(=O)Nc1ccccc1)c1cccc(-c2cccs2)c1,336.42,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL121059,CCCCCCCCCOC(=O)C1=C(c2ccccc2)CCN(CC)C1,357.54,,1,6.7,6.7,1.0,0.0,0,0,True,active_single
CHEMBL121298,CCN1CC=C(c2ccccc2)C(C(=O)OCCCCc2ccccc2)C1.O=C(O)C(=O)O,453.54,,1,4.84,4.84,0.0,1.0,0,0,False,inactive_single
CHEMBL121520,CCN1CCC(c2ccccc2)=C(C(=O)OCC2CCCCC2)C1.O=C(O)C(=O)O,417.5,,1,6.81,6.81,1.0,0.0,0,0,True,active_single
CHEMBL1223807,CCO[C@H]1CC[C@](C)(N2CCC(n3c(=O)oc4ccccc43)CC2)CC1,358.48,,1,4.8,,0.0,1.0,0,0,False,inactive_single
CHEMBL123099,CCN1CCC(c2ccccc2)=C(C(=O)OCCc2ccc(OC)cc2)C1.O=C(O)C(=O)O,455.51,,1,4.28,4.28,0.0,1.0,0,0,False,inactive_single
CHEMBL1231,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,357.49,OXYBUTYNIN,5,8.89,8.89,1.0,0.0,0,0,True,active
CHEMBL1257975,O=C1C(=O)N(Cc2ccc(Oc3cccc(F)n3)cc2)c2ccc(OC(F)(F)F)cc21,432.33,,1,4.52,,0.0,1.0,0,0,False,inactive_single
CHEMBL1258671,CCCCN1CCC(COC(=O)c2cc(F)c(N)c3c2OCCO3)CC1,366.43,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1289081,O=C(c1ccco1)N1CCOC2(CCN(Cc3ccc(Cl)cc3)CC2)C1,374.87,,1,7.2,7.2,1.0,0.0,0,0,True,active_single
CHEMBL1289082,O=C(c1cccs1)N1CCOC2(CCN(Cc3ccc(Cl)cc3)CC2)C1,390.94,,1,7.2,7.2,1.0,0.0,0,0,True,active_single
CHEMBL1289201,O=C(c1ccc(CO)o1)N1CCOC2(CCN(Cc3ccc(Cl)cc3)CC2)C1,404.89,,1,7.0,7.0,1.0,0.0,0,0,True,active_single
CHEMBL1289202,O=C(c1ccoc1)N1CCOC2(CCN(Cc3ccc(Cl)cc3)CC2)C1,374.87,,1,6.9,6.9,1.0,0.0,0,0,True,active_single
CHEMBL1289314,O=C(c1cnsn1)N1CCOC2(CCN(Cc3ccc(Cl)cc3)CC2)C1,392.91,,1,6.7,6.7,1.0,0.0,0,0,True,active_single
CHEMBL1289544,O=C(c1cscn1)N1CCOC2(CCN(Cc3ccc(Cl)cc3)CC2)C1,391.92,,1,6.8,6.8,1.0,0.0,0,0,True,active_single
CHEMBL1289545,Cc1nc(C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1,405.95,,1,8.0,8.0,1.0,0.0,0,0,True,active_single
CHEMBL1289653,Cc1nc(C(=O)N2CCOC3(CCN(Cc4cccc(Cl)c4)CC3)C2)cs1,405.95,,1,8.9,8.9,1.0,0.0,0,0,True,active_single
CHEMBL1289654,Cc1nc(C(=O)N2CCOC3(CCN(Cc4ccccc4Cl)CC3)C2)cs1,405.95,,1,8.1,8.1,1.0,0.0,0,0,True,active_single
CHEMBL1289758,CCc1nc(C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1,419.98,,1,7.8,7.8,1.0,0.0,0,0,True,active_single
CHEMBL1289865,CC(C)c1nc(C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)cs1,434.01,,1,7.8,7.8,1.0,0.0,0,0,True,active_single
CHEMBL1289866,CC(C)c1nc(C(=O)N2CCOC3(CCN(Cc4ccccc4)CC3)C2)cs1,399.56,,1,8.4,8.4,1.0,0.0,0,0,True,active_single
CHEMBL1289982,CC(C)c1nc(C(=O)N2CCOC3(CCN(Cc4ccccc4Cl)CC3)C2)cs1,434.01,,1,7.7,7.7,1.0,0.0,0,0,True,active_single
CHEMBL1289983,CC(C)c1nc(C(=O)N2CCOC3(CCN(Cc4cccc(Cl)c4)CC3)C2)cs1,434.01,,1,8.3,8.3,1.0,0.0,0,0,True,active_single
CHEMBL1290183,O=C(c1ccccc1)N1CCC2(CCN(Cc3cccc(Cl)c3)CC2)CC1,382.94,,1,7.0,7.0,1.0,0.0,0,0,True,active_single
CHEMBL1290184,Cc1cccc(CN2CCC3(CC2)CCN(C(=O)c2ccccc2)CC3)c1,362.52,,1,7.0,7.0,1.0,0.0,0,0,True,active_single
CHEMBL1290294,O=C(c1ccccc1)N1CCC2(CCN(Cc3ccccc3)CC2)CC1,348.49,,1,6.9,6.9,1.0,0.0,0,0,True,active_single
CHEMBL1290410,O=C(c1ccsc1)N1CCC2(CCN(Cc3ccccc3)CC2)CC1,354.52,,1,6.5,6.5,1.0,0.0,0,0,True,active_single
CHEMBL1290635,O=C(c1ccccc1)N1CCOC2(CCN(Cc3ccc(Cl)cc3)CC2)C1,384.91,,1,6.6,6.6,1.0,0.0,0,0,True,active_single
CHEMBL1290752,O=C(c1ccc2occc2c1)N1CCOC2(CCN(Cc3ccc(Cl)cc3)CC2)C1,424.93,,1,7.5,7.5,1.0,0.0,0,0,True,active_single
CHEMBL1290753,Cc1ccc(C(=O)N2CCOC3(CCN(Cc4ccc(Cl)cc4)CC3)C2)o1,388.9,,1,7.3,7.3,1.0,0.0,0,0,True,active_single
CHEMBL130835,COc1ccccc1CN1CCC(C2CCN(C(=O)CCCCCCC(=O)N3CCC(C4CCN(Cc5ccccc5OC)CC4)CC3)CC2)CC1,715.04,PIPERTRAMINE AMIDE,1,7.01,7.01,1.0,0.0,0,0,True,active_single
CHEMBL1319362,Br.CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2,356.26,HOMATROPINE HYDROBROMIDE,2,7.46,7.46,1.0,0.0,0,0,True,active
CHEMBL1323615,CN1c2ccccc2Sc2cc(N)ccc21,228.32,,1,5.0,5.0,0.0,1.0,0,0,False,inactive_single
CHEMBL1354199,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.[Br-],398.3,METHSCOPOLAMINE BROMIDE,2,9.28,9.28,1.0,0.0,0,0,True,active
CHEMBL135645,CO/N=C(C#N)C12CCCN(CC1)C2,193.25,,1,7.55,7.55,1.0,0.0,0,0,True,active_single
CHEMBL1367424,CCOC(=O)N1CCC(NCCNC(=O)c2cccs2)CC1,325.43,,1,4.11,,0.0,1.0,0,0,False,inactive_single
CHEMBL1382,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,325.5,TOLTERODINE,4,8.44,8.44,1.0,0.0,0,0,True,active
CHEMBL1424807,Clc1cccc(N2CCNCC2)c1Cl,231.13,,1,4.7,4.7,0.0,1.0,0,0,False,inactive_single
CHEMBL143228,CN1CCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)CC1,325.41,,1,8.96,8.96,1.0,0.0,0,0,True,active_single
CHEMBL143469,CN1CCC=C(c2nsnc2OCCCCCCCCCOc2nsnc2C2=CCCN(C)C2)C1,518.75,,1,8.54,8.54,1.0,0.0,0,0,True,active_single
CHEMBL1459098,O=C(c1ccc(F)cc1)N1CCN2C(=O)c3ccccc3C12c1ccccc1,372.4,,1,4.52,4.52,0.0,1.0,0,0,False,inactive_single
CHEMBL145913,O=C(NC1CCN(Cc2cccc(O)c2)CC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,444.52,,1,8.27,8.27,1.0,0.0,0,0,True,active_single
CHEMBL146249,CC(C)=CCCN1CCC(NC(=O)[C@](O)(c2ccccc2)[C@H]2CC[C@@H](F)C2)CC1,402.55,,1,7.96,7.96,1.0,0.0,0,0,True,active_single
CHEMBL146291,O=C(NC1CCN(CC2CCCCCCC2)CC1)C(O)(c1ccccc1)C1CCCC1,426.65,,1,7.03,7.03,1.0,0.0,0,0,True,active_single
CHEMBL146307,NCc1cccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)c1,457.57,,1,7.68,7.68,1.0,0.0,0,0,True,active_single
CHEMBL146351,CC(C)=CCCN1CCC(NC(=O)[C@](O)(c2ccccc2)[C@H]2CCC(F)(F)C2)CC1,420.54,,1,7.8,7.8,1.0,0.0,0,0,True,active_single
CHEMBL146359,O=C(NC1CCN(CC2CCCCC2)CC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,434.57,,1,7.74,7.74,1.0,0.0,0,0,True,active_single
CHEMBL146464,O=C(NC1CCN(Cc2ccccc2)CC1)C(O)(c1ccccc1)C1CCCC1,392.54,,1,8.6,8.6,1.0,0.0,0,0,True,active_single
CHEMBL146567,Cc1cccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)c1,442.55,,1,8.7,8.7,1.0,0.0,0,0,True,active_single
CHEMBL146953,CN(C)C1CCc2cccc(O)c2C1,191.27,,1,4.55,4.55,0.0,1.0,0,0,False,inactive_single
CHEMBL147105,O=C(NC1CCN(Cc2ccccn2)CC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,429.51,,1,7.89,7.89,1.0,0.0,0,0,True,active_single
CHEMBL147554,O=C(NC1CCN(Cc2cccc(CO)c2)CC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,458.55,,1,7.77,7.77,1.0,0.0,0,0,True,active_single
CHEMBL147611,O=C(NC1CCN(Cc2cccc(F)c2)CC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,446.51,,1,8.51,8.51,1.0,0.0,0,0,True,active_single
CHEMBL147653,O=C(NC1CCN(Cc2ccccc2)CC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,428.52,,1,8.42,8.42,1.0,0.0,0,0,True,active_single
CHEMBL147672,O=C(NC1CCN(Cc2ccoc2)CC1)C(O)(c1ccccc1)C1CCCC1,382.5,,1,7.3,7.3,1.0,0.0,0,0,True,active_single
CHEMBL147695,O=C(NC1CCN(Cc2ccoc2)CC1)[C@](O)(c1ccccc1)[C@@H]1CCC(F)(F)C1,418.48,,1,7.52,7.52,1.0,0.0,0,0,True,active_single
CHEMBL147778,Cc1cccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)n1,443.54,,1,8.05,8.05,1.0,0.0,0,0,True,active_single
CHEMBL148129,O=C(NC1CCN(CC2CCCCCC2)CC1)C(O)(c1ccccc1)C1CCCC1,412.62,,1,7.92,7.92,1.0,0.0,0,0,True,active_single
CHEMBL1482157,CCOC(=O)N1CCC(NCCNC(=O)c2ccccc2Cl)CC1,353.85,,1,4.23,,0.0,1.0,0,0,False,inactive_single
CHEMBL148310,Cc1ccccc1CN1CCC(NC(=O)C(O)(c2ccccc2)C2CCCC2)CC1,406.57,,1,6.66,6.66,1.0,0.0,0,0,True,active_single
CHEMBL148328,O=C(NC1CCN(Cc2cccnc2)CC1)C(O)(c1ccccc1)C1CCCC1,393.53,,1,7.0,7.0,1.0,0.0,0,0,True,active_single
CHEMBL148404,Nc1ccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)nc1,444.53,,1,7.82,7.82,1.0,0.0,0,0,True,active_single
CHEMBL148450,COc1cccc(CN2CCC(NC(=O)C(O)(c3ccccc3)C3CCCC3)CC2)c1,422.57,,1,8.23,8.23,1.0,0.0,0,0,True,active_single
CHEMBL1490,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,301.47,TRIHEXYPHENIDYL,2,8.16,8.16,1.0,0.0,0,0,True,active
CHEMBL1493369,C[C@@H](C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,292.43,,1,6.86,6.86,1.0,0.0,0,0,True,active_single
CHEMBL149484,COc1cccc(CN2CCC(NC(=O)[C@](O)(c3ccccc3)[C@@H]3CCC(F)(F)C3)CC2)c1,458.55,,1,8.46,8.46,1.0,0.0,0,0,True,active_single
CHEMBL149486,Cc1ccc(CN2CCC(NC(=O)C(O)(c3ccccc3)C3CCCC3)CC2)cc1,406.57,,1,8.19,8.19,1.0,0.0,0,0,True,active_single
CHEMBL149769,O=C(NC1CCN(CC2CCCCC2)CC1)C(O)(c1ccccc1)C1CCCC1,398.59,,1,7.77,7.77,1.0,0.0,0,0,True,active_single
CHEMBL150219,CC(C)=CCCN1CCC(NC(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,420.54,,1,8.21,8.21,1.0,0.0,0,0,True,active_single
CHEMBL1535797,CCOC(=O)N1CCC(NCCNC(=O)c2ccccc2)CC1.Cl,355.87,,1,4.91,,0.0,1.0,0,0,False,inactive_single
CHEMBL1559151,CCOC(=O)N1CCC(NCCNC(=O)c2ccccc2C)CC1.Cl,369.89,,1,3.44,,0.0,1.0,0,0,False,inactive_single
CHEMBL1559535,Cc1cc(N2CCNCC2)nc2ccccc12,227.31,,1,4.7,4.7,0.0,1.0,0,0,False,inactive_single
CHEMBL1564753,Cc1cc(NC(=O)CS(=O)(=O)c2cn(Cc3ccccc3Cl)c3ccccc23)no1,443.91,,1,4.52,,0.0,1.0,0,0,False,inactive_single
